Municipio,historico_12m,previsao_12m,delta
Pedreira,73.0,59.5611821728325,-13.438817827167497
Tietê,21.0,53.847351090501945,32.847351090501945
Analândia,2.0,43.679170363699,41.679170363699
Amparo,14.0,33.35305920022619,19.35305920022619
Jundiaí,2.0,33.10059031570898,31.100590315708978
Jaguariúna,9.0,32.52385169310996,23.52385169310996
Santa Bárbara D'Oeste,0.0,32.418554685757016,32.418554685757016
São Pedro,3.0,32.20098161517004,29.200981615170043
Sorocaba,14.0,31.71039502409254,17.71039502409254
Valinhos,2.0,29.465781199003853,27.465781199003853
Iracemápolis,1.0,29.34120050687879,28.34120050687879
Piracicaba,27.0,29.071722481757014,2.071722481757014
Capivari,70.0,27.17363423747024,-42.82636576252976
Sumaré,15.0,26.76260009357712,11.76260009357712
Salto,2.0,26.210990695890313,24.210990695890313
Vinhedo,45.0,25.88218768789985,-19.11781231210015
Louveira,0.0,24.970142394239847,24.970142394239847
Monte Alegre Do Sul,0.0,24.461176274908933,24.461176274908933
Americana,1.0,24.31108919718533,23.31108919718533
Rio Claro,7.0,23.90288335183261,16.90288335183261
Bom Jesus Dos Perdões,31.0,23.53793105825465,-7.4620689417453505
Artur Nogueira,1.0,23.32681763523415,22.32681763523415
Mogi Guaçu,78.0,23.004084243024852,-54.99591575697515
Mogi Mirim,0.0,22.081648157226002,22.081648157226002
Saltinho,0.0,21.592468558242913,21.592468558242913
Indaiatuba,5.0,19.452270395685634,14.452270395685634
Araras,0.0,19.20085382715357,19.20085382715357
Ipeúna,71.0,18.59519683268021,-52.40480316731979
Atibaia,0.0,17.668851031748083,17.668851031748083
Dois Córregos,0.0,17.660830274890955,17.660830274890955
Brotas,13.0,16.324330473886572,3.3243304738865724
Corumbataí,0.0,16.097437461386747,16.097437461386747
Porto Feliz,2.0,16.072747511703547,14.072747511703547
Araraquara,1.0,15.994531092240674,14.994531092240674
Itirapina,0.0,15.499165510760127,15.499165510760127
Santo Antônio De Posse,15.0,14.613686796973816,-0.38631320302618377
Ibaté,1.0,14.249505550886337,13.249505550886337
Rio Das Pedras,40.0,14.083334042199038,-25.916665957800962
Campinas,0.0,13.905339785990176,13.905339785990176
Cosmópolis,1.0,10.587218786895436,9.587218786895436
Jaboticabal,2.0,10.33101444412538,8.33101444412538
Paraibuna,1.0,9.842381400839534,8.842381400839534
Pirassununga,2.0,9.603339027307944,7.603339027307944
Cordeirópolis,0.0,8.861571515145211,8.861571515145211
Rafard,12.0,8.17151024629815,-3.8284897537018505
Cerquilho,8.0,7.1026304265043025,-0.8973695734956975
Leme,4.0,6.0978865268632285,2.0978865268632285
Santa Rita Do Passa Quatro,0.0,5.28423426692112,5.28423426692112
Nova Odessa,17.0,3.835202765263979,-13.164797234736021
Jumirim,1.0,3.7106169289611692,2.7106169289611692
Limeira,4.0,2.927128245268167,-1.0728717547318332
Itu,34.0,1.2230545342475183,-32.77694546575248
São Carlos,41.0,0.7757536252281019,-40.2242463747719
Holambra,44.0,0.704692873868657,-43.29530712613134
Luiz Antônio,2.0,0.21832822687110914,-1.781671773128891
Guaíra,0.0,0.11449223600849404,0.11449223600849404
Holambra ,0.0,-0.00826430077570027,-0.00826430077570027
Monte Alegre do Sul,0.0,-0.009763914392998533,-0.009763914392998533
Araçoiaba da Serra,0.0,-0.011541707645588864,-0.011541707645588864
Pirassununga ,0.0,-0.049141240640522964,-0.049141240640522964
Pedreira ,0.0,-0.05091903389311326,-0.05091903389311326
Dois Córregos ,0.0,-0.07419323936896197,-0.07419323936896197
Santo Antônio de Posse,0.0,-0.0885185668880474,-0.0885185668880474
Araçoiaba da Serra ,0.0,-0.0902963601406377,-0.0902963601406377
Santo Antônio de Posse ,1.0,-0.12999285111595335,-1.1299928511159534
Iracemápolis ,1.0,-0.13162708228412698,-1.131627082284127
Lindoia,2.0,-0.26236274794720793,-2.2623627479472077
São José do Rio Preto,0.0,-1.1406409787870246,-1.1406409787870246
Itapira,0.0,-1.9424575085938325,-1.9424575085938325
Votorantim,9.0,-3.308312702677645,-12.308312702677645
Tambaú,0.0,-4.22720556844931,-4.22720556844931
São Simão,39.0,-4.976237433239184,-43.976237433239184
Macaubal,38.0,-4.996159607981973,-42.99615960798197
Araçoiaba Da Serra,38.0,-6.086406557278818,-44.08640655727882
Matão,48.0,-6.124599917832842,-54.12459991783284
Mogi Das Cruzes,14.0,-6.941369072739066,-20.941369072739064
Ribeirão Preto,62.0,-7.983905800316121,-69.98390580031612
Catanduva,14.0,-8.180309006811203,-22.180309006811203
Santa Cruz Das Palmeiras,1.0,-8.343982281891762,-9.343982281891762
São José do Rio Preto ,0.0,-9.569070827888913,-9.569070827888913
Sertãozinho,1.0,-10.976524856040648,-11.976524856040648
Serrana,24.0,-11.291798594544936,-35.291798594544936
Barretos,2.0,-16.765801637338242,-18.765801637338242
Engenheiro Coelho,45.0,-16.891849720485094,-61.8918497204851
Orlândia,11.0,-17.20138323302952,-28.20138323302952
Olímpia,39.0,-17.706703766290346,-56.706703766290346
São José do Rio Pardo,50.0,-18.735854946481396,-68.7358549464814
