Municipio,historico_total,historico_12m,previsao_12m,previsao_24m,previsao_48m,tendencia
Americana,280,1,24,48,96,crescente
Amparo,253,14,33,64,119,crescente
Analândia,283,2,43,83,152,crescente
Araraquara,175,1,16,31,62,crescente
Araras,277,0,19,39,81,estável
Araçoiaba Da Serra,109,38,-6,-9,-7,decrescente
Araçoiaba da Serra,1,0,0,0,0,estável
Araçoiaba da Serra ,1,0,0,0,0,estável
Artur Nogueira,228,1,23,45,88,crescente
Atibaia,158,0,17,34,66,estável
Barretos,182,2,-16,-27,-31,decrescente
Bom Jesus Dos Perdões,266,31,23,46,92,decrescente
Brotas,190,13,16,32,65,crescente
Campinas,91,0,13,26,48,estável
Capivari,373,70,27,54,113,decrescente
Catanduva,87,14,-8,-13,-15,decrescente
Cerquilho,71,8,7,13,27,decrescente
Cordeirópolis,158,0,8,18,40,estável
Corumbataí,132,0,16,31,58,estável
Cosmópolis,125,1,10,21,42,crescente
Dois Córregos,225,0,17,35,72,estável
Dois Córregos ,1,0,0,0,0,estável
Engenheiro Coelho,217,45,-16,-27,-28,decrescente
Guaíra,1,0,0,0,0,estável
Holambra,145,44,0,3,15,decrescente
Holambra ,1,0,0,0,0,estável
Ibaté,254,1,14,30,65,crescente
Indaiatuba,146,5,19,37,69,crescente
Ipeúna,228,71,18,37,75,decrescente
Iracemápolis,249,1,29,56,107,crescente
Iracemápolis ,1,1,0,0,0,decrescente
Itapira,50,0,-1,-2,0,estável
Itirapina,152,0,15,30,59,estável
Itu,245,34,1,6,26,decrescente
Jaboticabal,199,2,10,21,48,crescente
Jaguariúna,219,9,32,62,114,crescente
Jumirim,58,1,3,7,16,crescente
Jundiaí,196,2,33,63,114,crescente
Leme,88,4,6,12,25,crescente
Limeira,43,4,2,5,12,decrescente
Lindoia,2,2,0,0,0,decrescente
Louveira,258,0,24,49,96,estável
Luiz Antônio,27,2,0,0,3,decrescente
Macaubal,38,38,-5,-8,-11,decrescente
Matão,48,48,-6,-10,-13,decrescente
Mogi Das Cruzes,72,14,-7,-11,-13,decrescente
Mogi Guaçu,319,78,23,46,96,decrescente
Mogi Mirim,127,0,22,42,75,estável
Monte Alegre Do Sul,301,0,24,49,98,estável
Monte Alegre do Sul,1,0,0,0,0,estável
Nova Odessa,72,17,3,8,17,decrescente
Olímpia,177,39,-17,-29,-35,decrescente
Orlândia,234,11,-16,-27,-27,decrescente
Paraibuna,133,1,9,19,40,crescente
Pedreira,468,73,59,115,215,decrescente
Pedreira ,1,0,0,0,0,estável
Piracicaba,260,27,29,56,108,estável
Pirassununga,111,2,9,19,38,crescente
Pirassununga ,1,0,0,0,0,estável
Porto Feliz,147,2,16,31,60,crescente
Rafard,210,12,8,18,43,decrescente
Ribeirão Preto,492,62,-7,-6,23,decrescente
Rio Claro,250,7,23,47,92,crescente
Rio Das Pedras,338,40,13,30,72,decrescente
Saltinho,97,0,21,40,71,estável
Salto,331,2,26,52,106,crescente
Santa Bárbara D'Oeste,231,0,32,62,115,estável
Santa Cruz Das Palmeiras,96,1,-8,-13,-15,decrescente
Santa Rita Do Passa Quatro,77,0,5,10,22,estável
Santo Antônio De Posse,209,15,14,29,61,estável
Santo Antônio de Posse,1,0,0,0,0,estável
Santo Antônio de Posse ,1,1,0,0,0,decrescente
Serrana,147,24,-11,-18,-19,decrescente
Sertãozinho,137,1,-11,-17,-19,decrescente
Sorocaba,312,14,31,62,120,crescente
Sumaré,212,15,26,52,97,crescente
São Carlos,303,41,0,5,30,decrescente
São José do Rio Pardo,188,50,-18,-31,-36,decrescente
São José do Rio Preto,13,0,-1,-1,-2,estável
São José do Rio Preto ,106,0,-9,-15,-17,estável
São Pedro,241,3,32,62,115,crescente
São Simão,39,39,-4,-8,-10,decrescente
Tambaú,95,0,-4,-6,-3,estável
Tietê,384,21,53,103,191,crescente
Valinhos,180,2,29,56,102,crescente
Vinhedo,260,45,25,51,99,decrescente
Votorantim,58,9,-3,-5,-4,decrescente
